Year,Smstr,#,Company Name,Primary Location,"Rent/Domain Amount 
for Primary Location",Description,Revenue,COGS,Gross Profit,Gross Margin,Operating Expenses,Operating Income,Net Income,Ending Cash Balance,Net Income Margin
2023,Spring,D,Dashing Dough,Benson,35,Donuts and frozen drinks,5372,2384,2988,0.556217424,3146,-158,-328,0,-0.061057334
2023,Spring,E,Bussin' Butter,Ampatheater,25,skin lotions with shea butter,4972,1815,3157,0.634955752,3060,97,-35,0,-0.007039421
2023,Spring,F,New Life,Ampatheater,25,bleached shirts and terariums,3675,754,2921,0.794829932,2830,91,63,91,0.017142857
2023,Spring,G,Brims,Ampatheater,25,Hats and pathces,14720,7410,7310,0.496603261,2503,4808,3259,4655,0.221399457
2023,Spring,H,Dippers,Smith,150,Sandwich sticks,6535,2453,4082,0.624636572,4620,-538,-329,0,-0.0503443
2023,Spring,I,Easy Peasy,Ricks/Hinkley/Outside,25,Lemonade and Cookies,4463,1337,3126,0.700425723,2632,494,190,272,0.042572261
2023,Fall,A,CheFigo,I-Center,35,Itlian Charm Braclets,17527,3279,14248,0.812917213,4313,9935,6540,8943,0.373138586
2023,Fall,B,Homeslice,Hart,35,Homemade fun bread,8851,2284,6567,0.741950062,3397,3169,2042,3006,0.230708395
2023,Fall,C,Tia Tortilla,Night MC,150,Authentic Tacos,18173,6525,11648,0.640950861,5264,6384,4119,6383,0.226654928
2023,Fall,D,Your Signature Jewlery,STC,35,Custom Engraved Necklaces and other items,9622,2709,6913,0.718457701,5336,1577,220,500,0.022864269
2023,Fall,E,Off-Shore,Hart,35,Seaglass jewlery and hoodies,11223,3469,7754,0.690902611,3795,3959,2699,3947,0.240488283
2023,Fall,F,On-A-Stick,Benson,35,Deserts on a stick,8808,3451,5357,0.608197094,3446,1911,1114,1797,0.126475931
2023,Fall,G,Mac Dad,Smith,150,Mac and Cheese,16491,5397,10848,0.657813353,6060,4789,2162,3000,0.131101813
2023,Fall,H,Frozone,STC,35,Frozen yogurt and and shakes,6220,1491,4276,0.687459807,1300,-1283,-1069,23,-0.171864952
2023,Fall,I,Sunday Blues,I-Center,35,Solar printed apparel,4544,1799,2673,0.588248239,2936,-263,-542,0,-0.119278169
